sigma_fair,option_type,pattern_mid,early_exercise_premium
0.2,call,always,0.0
0.2,put,always,0.0
0.21000000000000002,call,always,0.0
0.21000000000000002,put,always,0.0
0.22,call,always,0.0
0.22,put,always,0.0
0.23,call,always,0.0
0.23,put,always,0.0
0.24000000000000002,call,always,0.0
0.24000000000000002,put,always,0.0
0.25,call,always,0.0
0.25,put,always,0.0
0.26,call,always,0.0
0.26,put,always,0.0
0.27,call,always,0.0
0.27,put,always,0.0
0.28,call,always,0.0
0.28,put,always,0.0
0.29000000000000004,call,always,0.0
0.29000000000000004,put,always,0.0
0.30000000000000004,call,always,0.0
0.30000000000000004,put,always,0.0
0.31,call,always,0.0
0.31,put,always,0.0
0.32,call,always,0.0
0.32,put,always,0.0
0.33,call,always,0.0
0.33,put,always,0.0
0.34,call,always,0.0
0.34,put,always,0.0
0.35,call,always,0.0
0.35,put,always,0.0
0.36,call,always,0.0
0.36,put,always,0.0
0.37,call,always,0.0
0.37,put,always,0.0
0.38,call,always,0.0
0.38,put,always,0.0
0.39,call,always,0.0
0.39,put,always,0.0
0.4,call,always,0.0
0.4,put,always,0.0
