sigma_fair,sigma_offset,call,put,same
0.2,0.0,multiple_200,multiple_200,True
0.2,0.01,always_exercise,always_exercise,True
0.2,0.02,always_exercise,always_exercise,True
0.2,0.03,always_exercise,always_exercise,True
0.2,0.04,always_exercise,always_exercise,True
0.2,0.05,always_exercise,always_exercise,True
0.2,0.06,always_exercise,always_exercise,True
0.2,0.07,always_exercise,always_exercise,True
0.2,0.08,always_exercise,always_exercise,True
0.2,0.09,always_exercise,always_exercise,True
0.2,0.1,always_exercise,always_exercise,True
0.21000000000000002,0.0,multiple_200,multiple_200,True
0.21000000000000002,0.01,always_exercise,always_exercise,True
0.21000000000000002,0.02,always_exercise,always_exercise,True
0.21000000000000002,0.03,always_exercise,always_exercise,True
0.21000000000000002,0.04,always_exercise,always_exercise,True
0.21000000000000002,0.05,always_exercise,always_exercise,True
0.21000000000000002,0.06,always_exercise,always_exercise,True
0.21000000000000002,0.07,always_exercise,always_exercise,True
0.21000000000000002,0.08,always_exercise,always_exercise,True
0.21000000000000002,0.09,always_exercise,always_exercise,True
0.21000000000000002,0.1,always_exercise,always_exercise,True
0.22,0.0,multiple_200,multiple_200,True
0.22,0.01,always_exercise,always_exercise,True
0.22,0.02,always_exercise,always_exercise,True
0.22,0.03,always_exercise,always_exercise,True
0.22,0.04,always_exercise,always_exercise,True
0.22,0.05,always_exercise,always_exercise,True
0.22,0.06,always_exercise,always_exercise,True
0.22,0.07,always_exercise,always_exercise,True
0.22,0.08,always_exercise,always_exercise,True
0.22,0.09,always_exercise,always_exercise,True
0.22,0.1,always_exercise,always_exercise,True
0.23,0.0,multiple_200,multiple_200,True
0.23,0.01,always_exercise,always_exercise,True
0.23,0.02,always_exercise,always_exercise,True
0.23,0.03,always_exercise,always_exercise,True
0.23,0.04,always_exercise,always_exercise,True
0.23,0.05,always_exercise,always_exercise,True
0.23,0.06,always_exercise,always_exercise,True
0.23,0.07,always_exercise,always_exercise,True
0.23,0.08,always_exercise,always_exercise,True
0.23,0.09,always_exercise,always_exercise,True
0.23,0.1,always_exercise,always_exercise,True
0.24000000000000002,0.0,multiple_200,multiple_200,True
0.24000000000000002,0.01,always_exercise,always_exercise,True
0.24000000000000002,0.02,always_exercise,always_exercise,True
0.24000000000000002,0.03,always_exercise,always_exercise,True
0.24000000000000002,0.04,always_exercise,always_exercise,True
0.24000000000000002,0.05,always_exercise,always_exercise,True
0.24000000000000002,0.06,always_exercise,always_exercise,True
0.24000000000000002,0.07,always_exercise,always_exercise,True
0.24000000000000002,0.08,always_exercise,always_exercise,True
0.24000000000000002,0.09,always_exercise,always_exercise,True
0.24000000000000002,0.1,always_exercise,always_exercise,True
0.25,0.0,multiple_200,multiple_200,True
0.25,0.01,always_exercise,always_exercise,True
0.25,0.02,always_exercise,always_exercise,True
0.25,0.03,always_exercise,always_exercise,True
0.25,0.04,always_exercise,always_exercise,True
0.25,0.05,always_exercise,always_exercise,True
0.25,0.06,always_exercise,always_exercise,True
0.25,0.07,always_exercise,always_exercise,True
0.25,0.08,always_exercise,always_exercise,True
0.25,0.09,always_exercise,always_exercise,True
0.25,0.1,always_exercise,always_exercise,True
0.26,0.0,multiple_200,multiple_200,True
0.26,0.01,always_exercise,always_exercise,True
0.26,0.02,always_exercise,always_exercise,True
0.26,0.03,always_exercise,always_exercise,True
0.26,0.04,always_exercise,always_exercise,True
0.26,0.05,always_exercise,always_exercise,True
0.26,0.06,always_exercise,always_exercise,True
0.26,0.07,always_exercise,always_exercise,True
0.26,0.08,always_exercise,always_exercise,True
0.26,0.09,always_exercise,always_exercise,True
0.26,0.1,always_exercise,always_exercise,True
0.27,0.0,multiple_200,multiple_200,True
0.27,0.01,always_exercise,always_exercise,True
0.27,0.02,always_exercise,always_exercise,True
0.27,0.03,always_exercise,always_exercise,True
0.27,0.04,always_exercise,always_exercise,True
0.27,0.05,always_exercise,always_exercise,True
0.27,0.06,always_exercise,always_exercise,True
0.27,0.07,always_exercise,always_exercise,True
0.27,0.08,always_exercise,always_exercise,True
0.27,0.09,always_exercise,always_exercise,True
0.27,0.1,always_exercise,always_exercise,True
0.28,0.0,multiple_200,multiple_200,True
0.28,0.01,always_exercise,always_exercise,True
0.28,0.02,always_exercise,always_exercise,True
0.28,0.03,always_exercise,always_exercise,True
0.28,0.04,always_exercise,always_exercise,True
0.28,0.05,always_exercise,always_exercise,True
0.28,0.06,always_exercise,always_exercise,True
0.28,0.07,always_exercise,always_exercise,True
0.28,0.08,always_exercise,always_exercise,True
0.28,0.09,always_exercise,always_exercise,True
0.28,0.1,always_exercise,always_exercise,True
0.29000000000000004,0.0,multiple_200,multiple_200,True
0.29000000000000004,0.01,always_exercise,always_exercise,True
0.29000000000000004,0.02,always_exercise,always_exercise,True
0.29000000000000004,0.03,always_exercise,always_exercise,True
0.29000000000000004,0.04,always_exercise,always_exercise,True
0.29000000000000004,0.05,always_exercise,always_exercise,True
0.29000000000000004,0.06,always_exercise,always_exercise,True
0.29000000000000004,0.07,always_exercise,always_exercise,True
0.29000000000000004,0.08,always_exercise,always_exercise,True
0.29000000000000004,0.09,always_exercise,always_exercise,True
0.29000000000000004,0.1,always_exercise,always_exercise,True
0.30000000000000004,0.0,multiple_200,multiple_200,True
0.30000000000000004,0.01,always_exercise,always_exercise,True
0.30000000000000004,0.02,always_exercise,always_exercise,True
0.30000000000000004,0.03,always_exercise,always_exercise,True
0.30000000000000004,0.04,always_exercise,always_exercise,True
0.30000000000000004,0.05,always_exercise,always_exercise,True
0.30000000000000004,0.06,always_exercise,always_exercise,True
0.30000000000000004,0.07,always_exercise,always_exercise,True
0.30000000000000004,0.08,always_exercise,always_exercise,True
0.30000000000000004,0.09,always_exercise,always_exercise,True
0.30000000000000004,0.1,always_exercise,always_exercise,True
0.31,0.0,multiple_200,multiple_200,True
0.31,0.01,always_exercise,always_exercise,True
0.31,0.02,always_exercise,always_exercise,True
0.31,0.03,always_exercise,always_exercise,True
0.31,0.04,always_exercise,always_exercise,True
0.31,0.05,always_exercise,always_exercise,True
0.31,0.06,always_exercise,always_exercise,True
0.31,0.07,always_exercise,always_exercise,True
0.31,0.08,always_exercise,always_exercise,True
0.31,0.09,always_exercise,always_exercise,True
0.31,0.1,always_exercise,always_exercise,True
0.32,0.0,multiple_200,multiple_200,True
0.32,0.01,always_exercise,always_exercise,True
0.32,0.02,always_exercise,always_exercise,True
0.32,0.03,always_exercise,always_exercise,True
0.32,0.04,always_exercise,always_exercise,True
0.32,0.05,always_exercise,always_exercise,True
0.32,0.06,always_exercise,always_exercise,True
0.32,0.07,always_exercise,always_exercise,True
0.32,0.08,always_exercise,always_exercise,True
0.32,0.09,always_exercise,always_exercise,True
0.32,0.1,always_exercise,always_exercise,True
0.33,0.0,multiple_200,multiple_200,True
0.33,0.01,always_exercise,always_exercise,True
0.33,0.02,always_exercise,always_exercise,True
0.33,0.03,always_exercise,always_exercise,True
0.33,0.04,always_exercise,always_exercise,True
0.33,0.05,always_exercise,always_exercise,True
0.33,0.06,always_exercise,always_exercise,True
0.33,0.07,always_exercise,always_exercise,True
0.33,0.08,always_exercise,always_exercise,True
0.33,0.09,always_exercise,always_exercise,True
0.33,0.1,always_exercise,always_exercise,True
0.34,0.0,multiple_200,multiple_200,True
0.34,0.01,always_exercise,always_exercise,True
0.34,0.02,always_exercise,always_exercise,True
0.34,0.03,always_exercise,always_exercise,True
0.34,0.04,always_exercise,always_exercise,True
0.34,0.05,always_exercise,always_exercise,True
0.34,0.06,always_exercise,always_exercise,True
0.34,0.07,always_exercise,always_exercise,True
0.34,0.08,always_exercise,always_exercise,True
0.34,0.09,always_exercise,always_exercise,True
0.34,0.1,always_exercise,always_exercise,True
0.35,0.0,multiple_200,multiple_200,True
0.35,0.01,always_exercise,always_exercise,True
0.35,0.02,always_exercise,always_exercise,True
0.35,0.03,always_exercise,always_exercise,True
0.35,0.04,always_exercise,always_exercise,True
0.35,0.05,always_exercise,always_exercise,True
0.35,0.06,always_exercise,always_exercise,True
0.35,0.07,always_exercise,always_exercise,True
0.35,0.08,always_exercise,always_exercise,True
0.35,0.09,always_exercise,always_exercise,True
0.35,0.1,always_exercise,always_exercise,True
0.36,0.0,multiple_200,multiple_200,True
0.36,0.01,always_exercise,always_exercise,True
0.36,0.02,always_exercise,always_exercise,True
0.36,0.03,always_exercise,always_exercise,True
0.36,0.04,always_exercise,always_exercise,True
0.36,0.05,always_exercise,always_exercise,True
0.36,0.06,always_exercise,always_exercise,True
0.36,0.07,always_exercise,always_exercise,True
0.36,0.08,always_exercise,always_exercise,True
0.36,0.09,always_exercise,always_exercise,True
0.36,0.1,always_exercise,always_exercise,True
0.37,0.0,multiple_200,multiple_200,True
0.37,0.01,always_exercise,always_exercise,True
0.37,0.02,always_exercise,always_exercise,True
0.37,0.03,always_exercise,always_exercise,True
0.37,0.04,always_exercise,always_exercise,True
0.37,0.05,always_exercise,always_exercise,True
0.37,0.06,always_exercise,always_exercise,True
0.37,0.07,always_exercise,always_exercise,True
0.37,0.08,always_exercise,always_exercise,True
0.37,0.09,always_exercise,always_exercise,True
0.37,0.1,always_exercise,always_exercise,True
0.38,0.0,multiple_200,multiple_200,True
0.38,0.01,always_exercise,always_exercise,True
0.38,0.02,always_exercise,always_exercise,True
0.38,0.03,always_exercise,always_exercise,True
0.38,0.04,always_exercise,always_exercise,True
0.38,0.05,always_exercise,always_exercise,True
0.38,0.06,always_exercise,always_exercise,True
0.38,0.07,always_exercise,always_exercise,True
0.38,0.08,always_exercise,always_exercise,True
0.38,0.09,always_exercise,always_exercise,True
0.38,0.1,always_exercise,always_exercise,True
0.39,0.0,multiple_200,multiple_200,True
0.39,0.01,always_exercise,always_exercise,True
0.39,0.02,always_exercise,always_exercise,True
0.39,0.03,always_exercise,always_exercise,True
0.39,0.04,always_exercise,always_exercise,True
0.39,0.05,always_exercise,always_exercise,True
0.39,0.06,always_exercise,always_exercise,True
0.39,0.07,always_exercise,always_exercise,True
0.39,0.08,always_exercise,always_exercise,True
0.39,0.09,always_exercise,always_exercise,True
0.39,0.1,always_exercise,always_exercise,True
0.4,0.0,multiple_200,multiple_200,True
0.4,0.01,always_exercise,always_exercise,True
0.4,0.02,always_exercise,always_exercise,True
0.4,0.03,always_exercise,always_exercise,True
0.4,0.04,always_exercise,always_exercise,True
0.4,0.05,always_exercise,always_exercise,True
0.4,0.06,always_exercise,always_exercise,True
0.4,0.07,always_exercise,always_exercise,True
0.4,0.08,always_exercise,always_exercise,True
0.4,0.09,always_exercise,always_exercise,True
0.4,0.1,always_exercise,always_exercise,True
