sigma_spot,sigma_offset,call_lower,call_upper,put_lower,put_upper
0.2,0.0,52.5,147.5,52.5,147.5
0.2,0.01,-inf,inf,-inf,inf
0.2,0.02,-inf,inf,-inf,inf
0.2,0.03,-inf,inf,-inf,inf
0.2,0.04,-inf,inf,-inf,inf
0.2,0.05,-inf,inf,-inf,inf
0.21000000000000002,0.0,52.5,147.5,52.5,147.5
0.21000000000000002,0.01,-inf,inf,-inf,inf
0.21000000000000002,0.02,-inf,inf,-inf,inf
0.21000000000000002,0.03,-inf,inf,-inf,inf
0.21000000000000002,0.04,-inf,inf,-inf,inf
0.21000000000000002,0.05,-inf,inf,-inf,inf
0.22,0.0,52.5,147.5,52.5,147.5
0.22,0.01,-inf,inf,-inf,inf
0.22,0.02,-inf,inf,-inf,inf
0.22,0.03,-inf,inf,-inf,inf
0.22,0.04,-inf,inf,-inf,inf
0.22,0.05,-inf,inf,-inf,inf
0.23,0.0,52.5,147.5,52.5,147.5
0.23,0.01,-inf,inf,-inf,inf
0.23,0.02,-inf,inf,-inf,inf
0.23,0.03,-inf,inf,-inf,inf
0.23,0.04,-inf,inf,-inf,inf
0.23,0.05,-inf,inf,-inf,inf
0.24,0.0,52.5,147.5,52.5,147.5
0.24,0.01,-inf,inf,-inf,inf
0.24,0.02,-inf,inf,-inf,inf
0.24,0.03,-inf,inf,-inf,inf
0.24,0.04,-inf,inf,-inf,inf
0.24,0.05,-inf,inf,-inf,inf
0.25,0.0,52.5,147.5,52.5,147.5
0.25,0.01,-inf,inf,-inf,inf
0.25,0.02,-inf,inf,-inf,inf
0.25,0.03,-inf,inf,-inf,inf
0.25,0.04,-inf,inf,-inf,inf
0.25,0.05,-inf,inf,-inf,inf
0.26,0.0,52.5,147.5,52.5,147.5
0.26,0.01,-inf,147.4222158874494,-inf,147.42221588735964
0.26,0.02,-inf,inf,-inf,inf
0.26,0.03,-inf,inf,-inf,inf
0.26,0.04,-inf,inf,-inf,inf
0.26,0.05,-inf,inf,-inf,inf
0.27,0.0,52.5,147.5,52.5,147.5
0.27,0.01,50.814844107801534,140.27410268215695,50.814844107849424,140.2741026821156
0.27,0.02,-inf,146.31812088942914,-inf,146.31812088939247
0.27,0.03,-inf,inf,-inf,inf
0.27,0.04,-inf,inf,-inf,inf
0.27,0.05,-inf,inf,-inf,inf
0.28,0.0,52.5,147.5,52.5,147.5
0.28,0.01,63.79256737248747,136.16048365920682,63.79256737250352,136.16048365919823
0.28,0.02,60.81766731636918,139.97004944314997,60.81766731635436,139.97004944314418
0.28,0.03,-inf,145.59881118490662,-inf,145.59881118487976
0.28,0.04,-inf,inf,-inf,inf
0.28,0.05,-inf,inf,-inf,inf
0.29,0.0,52.5,147.5,52.5,147.5
0.29,0.01,66.03415672085664,133.29815695193037,66.03415672086986,133.29815695192616
0.29,0.02,64.1578339203068,136.37753069633476,64.15783392030703,136.3775306963387
0.29,0.03,61.141577120535835,139.94884576775345,61.14157712053325,139.9488457677504
0.29,0.04,50.91322364285776,145.03061218643552,50.913223642837714,145.0306121864174
0.29,0.05,-inf,inf,-inf,inf
0.3,0.0,52.5,147.5,52.5,147.5
0.3,0.01,67.67235827097808,130.92522443013095,67.67235827098425,130.92522443013786
0.3,0.02,66.05643867134228,133.64062149409568,66.05643867134343,133.64062149409767
0.3,0.03,64.28133762983403,136.69129926584483,64.28133762985028,136.69129926584526
0.3,0.04,61.368518512454614,140.0506429174718,61.36851851245501,140.05064291747718
0.3,0.05,57.90991164312399,144.88638568953846,57.90991164312163,144.8863856895293
