sigma_fair,sigma_offset,option_type,num_zeros,boundary_type,lower_boundary,upper_boundary,early_exercise_premium,american_value,european_value
0.2,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.2,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.2,0.01,call,0,always_exercise,,,0.0,0.37570374206513435,0.37570374206513435
0.2,0.01,put,0,always_exercise,,,0.0,0.37570374206513435,0.37570374206513435
0.2,0.02,call,0,always_exercise,,,0.0,0.7522276197748354,0.7522276197748354
0.2,0.02,put,0,always_exercise,,,0.0,0.7522276197748283,0.7522276197748283
0.2,0.03,call,0,always_exercise,,,0.0,1.1294308570324318,1.1294308570324318
0.2,0.03,put,0,always_exercise,,,0.0,1.1294308570324318,1.1294308570324318
0.2,0.04,call,0,always_exercise,,,0.0,1.5071941258391632,1.5071941258391632
0.2,0.04,put,0,always_exercise,,,0.0,1.5071941258391632,1.5071941258391632
0.2,0.05,call,0,always_exercise,,,0.0,1.8854153581831525,1.8854153581831525
0.2,0.05,put,0,always_exercise,,,0.0,1.8854153581831525,1.8854153581831525
0.2,0.06,call,0,always_exercise,,,0.0,2.2640065000828997,2.2640065000828997
0.2,0.06,put,0,always_exercise,,,0.0,2.2640065000828997,2.2640065000828997
0.2,0.07,call,0,always_exercise,,,0.0,2.6428909702947863,2.6428909702947863
0.2,0.07,put,0,always_exercise,,,0.0,2.6428909702947863,2.6428909702947863
0.2,0.08,call,0,always_exercise,,,0.0,3.0220016520144526,3.0220016520144526
0.2,0.08,put,0,always_exercise,,,0.0,3.0220016520144526,3.0220016520144526
0.2,0.09,call,0,always_exercise,,,0.0,3.4012792919514254,3.4012792919514254
0.2,0.09,put,0,always_exercise,,,0.0,3.4012792919514254,3.4012792919514254
0.2,0.1,call,0,always_exercise,,,0.0,3.780671213800261,3.780671213800261
0.2,0.1,put,0,always_exercise,,,0.0,3.780671213800261,3.780671213800261
0.21000000000000002,0.0,call,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.21000000000000002,0.0,put,200,multiple_200,50.25,149.75,0.0,0.0,0.0
0.21000000000000002,0.01,call,0,always_exercise,,,0.0,0.3765238777097011,0.3765238777097011
0.21000000000000002,0.01,put,0,always_exercise,,,0.0,0.376523877709694,0.376523877709694
